warning_id,criterion,rater_A,rater_B
commons-bcel#0001,cause,4,3
commons-bcel#0001,evidence,4,4
commons-bcel#0001,factuality,4,4
commons-bcel#0001,conciseness,4,4
commons-bcel#0002,cause,4,4
commons-bcel#0002,evidence,4,4
commons-bcel#0002,factuality,4,4
commons-bcel#0002,conciseness,3,4
commons-bcel#0003,cause,4,3
commons-bcel#0003,evidence,3,4
commons-bcel#0003,factuality,4,3
commons-bcel#0003,conciseness,4,4
commons-bcel#0004,cause,4,3
commons-bcel#0004,evidence,4,4
commons-bcel#0004,factuality,4,4
commons-bcel#0004,conciseness,3,4
commons-bcel#0005,cause,4,4
commons-bcel#0005,evidence,3,4
commons-bcel#0005,factuality,4,3
commons-bcel#0005,conciseness,4,3
commons-bcel#0006,cause,4,4
commons-bcel#0006,evidence,4,3
commons-bcel#0006,factuality,4,3
commons-bcel#0006,conciseness,4,4
commons-bcel#0008,cause,4,4
commons-bcel#0008,evidence,3,3
commons-bcel#0008,factuality,3,3
commons-bcel#0008,conciseness,4,4
commons-bcel#0009,cause,4,4
commons-bcel#0009,evidence,4,4
commons-bcel#0009,factuality,4,3
commons-bcel#0009,conciseness,4,4
commons-collections#0001,cause,4,4
commons-collections#0001,evidence,4,4
commons-collections#0001,factuality,4,5
commons-collections#0001,conciseness,4,3
commons-collections#0002,cause,3,4
commons-collections#0002,evidence,4,3
commons-collections#0002,factuality,4,4
commons-collections#0002,conciseness,4,4
commons-collections#0003,cause,4,3
commons-collections#0003,evidence,3,3
commons-collections#0003,factuality,3,3
commons-collections#0003,conciseness,4,4
commons-collections#0004,cause,4,4
commons-collections#0004,evidence,4,4
commons-collections#0004,factuality,4,4
commons-collections#0004,conciseness,4,4
