warning_id,project,rule_id,strategy,n_snippets,tokens,snippet_ids,explanation,quality
commons-bcel#0001,commons-bcel,SIC_INNER_SHOULD_BE_STATIC_ANON,local_only,2,46,s01;s02,"SpotBugs rule SIC_INNER_SHOULD_BE_STATIC_ANON reports that the class org.apache.bcel.util.lrucacheclasspathrepository$1 could be refactored into a named _static_ inner class. This is consistent with the supplied enclosing method, warning line ([s01], [s02]) at org/apache/bcel/util/LruCacheClassPathRepository.java:54. Because only the warning line and enclosing method are shown here, the explanation cannot rule out external callers or contracts.",3.125
commons-bcel#0001,commons-bcel,SIC_INNER_SHOULD_BE_STATIC_ANON,full,6,420,s01;s02;s03;s04;s05;s06,"SpotBugs rule SIC_INNER_SHOULD_BE_STATIC_ANON reports that the class org.apache.bcel.util.lrucacheclasspathrepository$1 could be refactored into a named _static_ inner class. This is consistent with the supplied enclosing class, enclosing method, warning line ([s01], [s02], [s03]) at org/apache/bcel/util/LruCacheClassPathRepository.java:54. Across all 6 candidate snippets, the supporting evidence is dispersed; some snippets are unrelated to the specific defect.",3.5
commons-bcel#0001,commons-bcel,SIC_INNER_SHOULD_BE_STATIC_ANON,selected,3,58,s01;s02;s06,"SpotBugs rule SIC_INNER_SHOULD_BE_STATIC_ANON reports that the class org.apache.bcel.util.lrucacheclasspathrepository$1 could be refactored into a named _static_ inner class. This is consistent with the supplied enclosing method, field or type declaration, warning line ([s01], [s02], [s06]) at org/apache/bcel/util/LruCacheClassPathRepository.java:54. The selected snippets concentrate on the closest evidence, which keeps the explanation grounded in supplied code.",3.875
commons-bcel#0002,commons-bcel,NM_SAME_SIMPLE_NAME_AS_SUPERCLASS,local_only,2,1629,s01;s02,"SpotBugs rule NM_SAME_SIMPLE_NAME_AS_SUPERCLASS reports that the class name org.apache.bcel.util.classloader shadows the simple name of the superclass java.lang.classloader. This is consistent with the supplied enclosing method, warning line ([s01], [s02]) at org/apache/bcel/util/ClassLoader.java:64. Because only the warning line and enclosing method are shown here, the explanation cannot rule out external callers or contracts.",3.25
commons-bcel#0002,commons-bcel,NM_SAME_SIMPLE_NAME_AS_SUPERCLASS,full,6,2389,s01;s02;s03;s04;s05;s06,"SpotBugs rule NM_SAME_SIMPLE_NAME_AS_SUPERCLASS reports that the class name org.apache.bcel.util.classloader shadows the simple name of the superclass java.lang.classloader. This is consistent with the supplied enclosing class, enclosing method, warning line ([s01], [s02], [s03]) at org/apache/bcel/util/ClassLoader.java:64. Across all 6 candidate snippets, the supporting evidence is dispersed; some snippets are unrelated to the specific defect.",3.875
commons-bcel#0002,commons-bcel,NM_SAME_SIMPLE_NAME_AS_SUPERCLASS,selected,3,1644,s01;s02;s06,"SpotBugs rule NM_SAME_SIMPLE_NAME_AS_SUPERCLASS reports that the class name org.apache.bcel.util.classloader shadows the simple name of the superclass java.lang.classloader. This is consistent with the supplied enclosing method, field or type declaration, warning line ([s01], [s02], [s06]) at org/apache/bcel/util/ClassLoader.java:64. The selected snippets concentrate on the closest evidence, which keeps the explanation grounded in supplied code.",3.875
commons-bcel#0003,commons-bcel,CT_CONSTRUCTOR_THROW,local_only,2,68,s01;s02,"SpotBugs rule CT_CONSTRUCTOR_THROW reports that exception thrown in class org.apache.bcel.generic.iconst at new org.apache.bcel.generic.iconst(int) will leave the constructor. the object under construction remains partially initialized and may be vulnerable to finalizer attacks. This is consistent with the supplied enclosing method, warning line ([s01], [s02]) at org/apache/bcel/generic/ICONST.java:47. Because only the warning line and enclosing method are shown here, the explanation cannot rule out external callers or contracts.",3.125
commons-bcel#0003,commons-bcel,CT_CONSTRUCTOR_THROW,full,7,470,s01;s02;s03;s04;s05;s06;s07,"SpotBugs rule CT_CONSTRUCTOR_THROW reports that exception thrown in class org.apache.bcel.generic.iconst at new org.apache.bcel.generic.iconst(int) will leave the constructor. the object under construction remains partially initialized and may be vulnerable to finalizer attacks. This is consistent with the supplied enclosing class, enclosing method, warning line ([s01], [s02], [s03]) at org/apache/bcel/generic/ICONST.java:47. Across all 7 candidate snippets, the supporting evidence is dispersed; some snippets are unrelated to the specific defect.",4.25
commons-bcel#0003,commons-bcel,CT_CONSTRUCTOR_THROW,selected,3,74,s02;s01;s07,"SpotBugs rule CT_CONSTRUCTOR_THROW reports that exception thrown in class org.apache.bcel.generic.iconst at new org.apache.bcel.generic.iconst(int) will leave the constructor. the object under construction remains partially initialized and may be vulnerable to finalizer attacks. This is consistent with the supplied enclosing method, field or type declaration, warning line ([s02], [s01], [s07]) at org/apache/bcel/generic/ICONST.java:47. The selected snippets concentrate on the closest evidence, which keeps the explanation grounded in supplied code.",3.625
commons-bcel#0004,commons-bcel,DM_GC,local_only,2,368,s01;s02,"SpotBugs rule DM_GC reports that org.apache.bcel.verifier.transitivehull.update(string) forces garbage collection; extremely dubious except in benchmarking code. This is consistent with the supplied enclosing method, warning line ([s01], [s02]) at org/apache/bcel/verifier/TransitiveHull.java:63. Because only the warning line and enclosing method are shown here, the explanation cannot rule out external callers or contracts.",3.0
commons-bcel#0004,commons-bcel,DM_GC,full,9,1064,s01;s02;s03;s04;s05;s06;s07;s09;s10,"SpotBugs rule DM_GC reports that org.apache.bcel.verifier.transitivehull.update(string) forces garbage collection; extremely dubious except in benchmarking code. This is consistent with the supplied enclosing class, enclosing method, warning line ([s01], [s02], [s03]) at org/apache/bcel/verifier/TransitiveHull.java:63. Across all 9 candidate snippets, the supporting evidence is dispersed; some snippets are unrelated to the specific defect.",3.75
commons-bcel#0004,commons-bcel,DM_GC,selected,3,373,s01;s02;s09,"SpotBugs rule DM_GC reports that org.apache.bcel.verifier.transitivehull.update(string) forces garbage collection; extremely dubious except in benchmarking code. This is consistent with the supplied enclosing method, field or type declaration, warning line ([s01], [s02], [s09]) at org/apache/bcel/verifier/TransitiveHull.java:63. The selected snippets concentrate on the closest evidence, which keeps the explanation grounded in supplied code.",3.75
commons-bcel#0005,commons-bcel,MS_MUTABLE_ARRAY,local_only,2,39949,s01;s02,"SpotBugs rule MS_MUTABLE_ARRAY reports that org.apache.bcel.const.short_type_names is a mutable array. This is consistent with the supplied enclosing method, warning line ([s01], [s02]) at org/apache/bcel/Const.java:2907. Because only the warning line and enclosing method are shown here, the explanation cannot rule out external callers or contracts.",3.25
commons-bcel#0005,commons-bcel,MS_MUTABLE_ARRAY,full,5,40760,s01;s02;s03;s04;s05,"SpotBugs rule MS_MUTABLE_ARRAY reports that org.apache.bcel.const.short_type_names is a mutable array. This is consistent with the supplied enclosing class, enclosing method, warning line ([s01], [s02], [s03]) at org/apache/bcel/Const.java:2907. Across all 5 candidate snippets, the supporting evidence is dispersed; some snippets are unrelated to the specific defect.",3.75
